Milestone_ID,Milestone_Name,Key_Decision,Phase,Decision_Date,Status,Verification_Status,Next_Action,Approval_Signal,Remaining_Risk,Verification_Evidence,Owner,Source_of_Truth,Files_Affected,Notes
MS-001,Architecture Source Separation,Separate live market price fetching in base app from scheduled macro data ingestion; macro_pack_latest is source of truth for macro outputs.,Architecture,24/6/2026,LOCKED,PARTIAL,Run base-app data-source governance patch and validation scan.,Prior locked decision,Old app defaults can still leak into production display/scoring if not quarantined.,Base app is pack-aware but not fully pack-governed; legacy PMI fallback paths still need cleanup.,Wisni Tan / Copilot,DATA_SOURCE_POLICY.csv / macro_pack_latest outputs,sg_tactical_wealth_allocator.py; macro_pack_latest/macro_data.csv; macro_pack_latest/macro_history_12m.csv; macro_pack_latest/rates_history_252d.csv,"Core principle: base app consumes macro pack outputs, not recreate macro defaults."
MS-002,Rates Live API Policy,Decisions 1–4 rates use live APIs only; avoid unreliable monthly macro pack rates source where live route is available.,Data Source Policy,24/6/2026,LOCKED,PENDING,Fix KLSE/BNM day-first date parsing and verify latest OPR date.,Prior locked decision,Date parser can misread BNM DD/MM/YYYY as MM/DD/YYYY if not fixed.,Rates history workflow exists; KLSE date parser issue remains pending.,Wisni Tan / Copilot,macro_pack_latest/rates_history_252d.csv; live rates adapters,update_rates_history_252d.py; update_rates_history_252d.yml; macro_pack_latest/rates_history_252d.csv,BNM OPR date should be interpreted day-first.
MS-003,SG SORA Runtime Source Policy,Remove legacy MAS secure/eservices datastore/API endpoints from active SG SORA fetch path; use live redistributor-only route due to runtime failures.,Data Source Policy,25/6/2026,LOCKED,LOCKED_NOT_FULLY_RETESTED,Keep source note in tooltip/diagnostics and avoid reintroducing MAS legacy endpoints.,Prior locked decision,Redistributor availability should be monitored in diagnostics.,Policy locked after runtime/gaierror issues.,Wisni Tan / Copilot,DATA_SOURCE_POLICY.csv; SG SORA adapter notes,g20_macro_fetcher.py; SG SORA adapter logic; macro_pack_latest/macro_data.csv,No fallback to removed MAS endpoints unless separately revalidated.
MS-004,APAC Macro Live API Policy,"MY unemployment, JP unemployment and JP inflation use live APIs due to unreliable monthly macro pack data.",Data Source Policy,24/6/2026,LOCKED,PENDING,Validate latest values and source_type in macro_data.csv after each workflow run.,Prior locked decision,API endpoint changes or stale annual fallback can mislead timing signals.,Live API route selected by policy; output validation still needed market-by-market.,Wisni Tan / Copilot,macro_pack_latest/macro_data.csv,g20_macro_fetcher.py; macro_pack_latest/macro_data.csv; diagnostics.csv,Annual fallback should not be presented as monthly market-timing signal.
MS-005,Base App UI Governance,"Hide Owner Mode during user testing; move Macro Data Manager and Macro Adapter Diagnostics into Audit, Methodology & Export as collapsed admin/tooling sections; keep Refresh Market Data in sidebar.",UI / UX,26/6/2026,LOCKED,PARTIAL,Keep UI admin/tooling features collapsed in Audit.,Prior locked decision,Future UI patches may reintroduce sidebar clutter.,Base app review showed Owner Mode hidden and admin/source tooling under audit section.,Wisni Tan / Copilot,GLOBAL20ENGINE_MILESTONE_LOG.csv; base app UI sections,sg_tactical_wealth_allocator.py,User-testing mode should remain clean.
MS-006,Dashboard Layout Governance,Live Market & Trend Monitor collapsed by default; remove duplicated top Market Conditions KPI cards; keep Yahoo-style index chart; keep 12M Macro Snapshot macro-only; keep valuation/drawdown/risk diagnostics collapsed by default.,UI / UX,26/6/2026,LOCKED,PARTIAL,Verify layout after next full base-app build.,Prior locked decision,Dashboard may become too long if collapsed defaults are changed.,Base app contains Live Market & Trend Monitor and 12M Macro Snapshot sections; further UI verification still required after final patch.,Wisni Tan / Copilot,GLOBAL20ENGINE_MILESTONE_LOG.csv; base app UI sections,sg_tactical_wealth_allocator.py,Priority is decision clarity and compact review.
MS-007,Macro Risk Score v2 Model,"Upgrade from old 3-indicator model to weighted multi-factor Macro Risk Score v2 using applicable inflation, unemployment/claims, PMI, rates, yield curve and VIX; exclude N/A and re-normalise weights; source quality belongs in tooltip, not direct penalty.",Model / Scoring,26/6/2026,LOCKED_PATCH_PENDING,PENDING,Patch Macro Risk Score to fail closed or show partial instead of silent default fallback.,Prior locked decision,Legacy PMI/session defaults may still influence risk score if macro pack data missing.,Base app has v2-style components but PMI fallback leakage remains possible.,Wisni Tan / Copilot,DATA_SOURCE_POLICY.csv; base app risk score logic,sg_tactical_wealth_allocator.py,Important model governance item.
MS-008,12M Macro Snapshot Mini-Chart KIV,"Stop further mini-chart/UI patching for 12M Macro & Market Trend Snapshot unless quick data-only fix exists; remaining one-point charts are data-coverage gaps, not UI blockers.",UI / Data Coverage,27/6/2026,KIV,KIV,Do not prioritise UI patch; improve data coverage through workflow outputs.,Prior KIV decision,Some charts may remain one-point or unavailable until history improves.,User explicitly decided not to spend further time unless quick data-only fix exists.,Wisni Tan / Copilot,GLOBAL20ENGINE_MILESTONE_LOG.csv,sg_tactical_wealth_allocator.py; macro_pack_latest/macro_history_12m.csv; macro_pack_latest/rates_history_252d.csv,This should be surfaced if future requests revisit mini-charts.
MS-009,Executive Market Summary Design,"Executive summary should mirror market main page and provide cross-market drawdown-led scorecard with tooltip-guided Action and Suggested Deploy, not a buy call.",UI / Executive Centre,28/6/2026,DISCUSSED_MOCKUP_CREATED,DESIGN_REVIEW_PENDING,Implement only after data-source governance patch is complete.,Mockup requested,Design not yet implemented in base app.,PNG mockup generated for review.,Wisni Tan / Copilot,Executive summary mockup PNG; future app implementation,sg_tactical_wealth_allocator.py; mockup PNG,Keep concise and decision-focused.
MS-010,PMI Source Governance,"PMI production values must come from macro_data.csv; hardcoded/default/seed PMI must not drive production cards, Macro Risk Score or Growth regime; manual PMI only Audit/Admin, mainly China/A-Share exception.",Data Source Governance,29/6/2026,LOCKED_PATCH_PENDING,PENDING,Patch base app and regime builder to read macro_data.csv first and block silent fallback.,let proceed / prior approval signals,Derived regime output and base app legacy pathways can still point to old defaults.,macro_data.csv has PMI rows but global_macro_regime_latest showed Growth FALLBACK from App PMI defaults composite.,Wisni Tan / Copilot,macro_pack_latest/macro_data.csv,sg_tactical_wealth_allocator.py; macro_pack_latest/macro_data.csv; macro_pack_latest/macro_history_12m.csv; global_macro_regime_latest.csv/regime builder,This is the current priority bug class.
